Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
FAMILY DISTURBANCE,N,2019-05-01,RESIDENCE / HOME,78749,30.23150211,-97.83743153
FAMILY DISTURBANCE,N,2020-11-20,RESIDENCE / HOME,78753,30.39438783,-97.67065387
FAMILY DISTURBANCE,N,2021-03-07,RESIDENCE / HOME,78744,30.18415581,-97.76112884
BURGLARY OF VEHICLE,N,2020-02-08,RESIDENCE / HOME,78701,30.26388102,-97.74537442
BURGLARY OF VEHICLE,N,2019-05-10,RESIDENCE / HOME,78731,30.3563326,-97.75091119
THEFT,N,2020-03-11,DEPARTMENT / DISCOUNT STORE,78613,30.4705168,-97.80651783
FAMILY DISTURBANCE,N,2019-11-16,RESIDENCE / HOME,78723,30.31702008,-97.70333336
CRIMINAL MISCHIEF,N,2020-07-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78753,30.37694816,-97.6755891
CRIMINAL MISCHIEF,N,2021-05-21,RESIDENCE / HOME,78704,30.25530543,-97.7642295
FAMILY DISTURBANCE,N,2021-08-16,RESIDENCE / HOME,78759,30.41069227,-97.71678672
BURGLARY OF VEHICLE,N,2021-08-02,COMMERCIAL / OFFICE BUILDING,78664,30.46971948,-97.67017213
